ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
150,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
151,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
152,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
153,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
154,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
155,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
156,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
157,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
158,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
159,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
160,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
161,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
162,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Wang et al. 2015; 26125603; 10.1016/j.etap.2015.06.008,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
163,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
164,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
165,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
166,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
167,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
168,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
169,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
170,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
171,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
172,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
173,BioStudies,Permethrin,Pyrethroid,wMFR and AEs on primary rat cortical neurons,Effects of permethrin exposure on mean firing rate (wMFR) and number of active electrodes (AEs) in primary rat cortical neuron networks on multi-well microelectrode arrays (mwMEA), and AEs on primary rat cortical neurons,"Postnatal day 0–1 (P0–P1) Long-Evans rat cortical neurons dissociated, plated on 12-well MEA plates (64 electrodes per well), cultured for DIV 14–22 before testing",Single concentration screening assay to detect neuroactive or neurotoxic effects of compounds on neuronal network firing and activity using mwMEA plates,-,-,-,-,Disruption/modulation of voltage-gated sodium channel (VGSC) gating in neurons (pyrethroid mode of action),Changes in network mean firing rate and number of active electrodes after 30 min exposure,Active,-,-,-,-,-,"
14% change in wMFR; 20% change in # active electrodes (AEs)",-,-,-,-,-,50 μM,"wMFR (spikes/min, weighted by number of active electrodes), percent of control","Multi-well MEA platform (Axion Biosystems/AxIS), EPA Integrated Systems Toxicology Division",Multi-well microelectrode array spontaneous network activity assay,"Recordings of spontaneous activity before and after deltamethrin application, quantifying changes in network spike rate and AEs",Neuronal network function/toxicity screen,-,50,mM,rat,Primary cortical neurons,monolayer on MEA,50 μM,Mean weighted firing rate increased by approximately 47% compared to baseline; number of active electrodes decreased by ~6.7%,No cytotoxicity at 50  μM,Voltage-gated sodium channels ,Neuronal ion channel,"
Sodium channel",-,"Neuronal excitability, action potential generation, synaptic transmission",Microelectrode array electrophysiology,brain ,-,3–7 replicates,https://doi.org/10.1016/j.neuro.2012.05.001,NT,-,-
174,BioStudies,Permethrin,Pyrethroid,wMFR and mwMEA in primary rat cortical neurons,Effect on spontaneous neuronal network activity measured by weighted mean firing rate (wMFR) in primary rat cortical neurons cultured on 48-well microelectrode arrays (mwMEA),wMFR and mwMEA in primary rat cortical neurons,Primary cortical neurons derived from postnatal day 0–1 Long-Evans rats cultured on 48-well mwMEA plates (~14 days in vitro). Single concentration neural activity assay assessing acute effect  (1 hour exposure) of permethrin on spontaneous neuronal firing rate using mwMEA system.,-,-,-,-,-,-,Change in firing rate as measured by wMFR in neuronal networks after 1 hour exposure,Inactive,-,-,-,-,-,"
±16.7% change in wMFR (hit threshold based on DMSO control ±2 SD)",-,-,-,-,-,"
40 μM",Weighted mean firing rate (wMFR) normalized to baseline,"EPA Integrated Systems Toxicology Division, Axion Biosystems mwMEA platform",Multi-well microelectrode array spontaneous activity assay,Measurement of spontaneous electrical activity in primary rat cortical neurons before and after compound treatment,"
Functional electrophysiology neurotoxicity screen",-,20,mM,rat,primary cortical neurons,dissociated on MEA,40 μM ,16.4% decrease in weighted mean firing rate (wMFR) compared to baseline; below hit threshold (threshold ±16.7%),No cytotoxicity observed,Voltage-gated sodium channels,Neuronal ion channel,"
Sodium channel",-,"Neuronal excitability, action potential modulation",Multi-electrode array extracellular electrophysiology,brain,-,at least n=2,10.1016/j.neuro.2014.06.012,NT,-,-
175,BioStudies,Permethrin,Pyrethroid,Effect on neural network development in rat cortical cultures as measured by 17 electrophysiological network parameters,"
Mean firing rate, mutual information, correlation, burst rate, # active electrodes, # actively bursting electrodes, and other network parameters",Effect on neural network development in rat cortical cultures,Screening for developmental neurotoxicity (DNT) via perturbation of neural network function using MEA; viability measured by Alamar Blue/LDH,-,-,-,-,-,Disruption of neural network development (general DNT context),"
Network development disruption; reduced neural activity",Active,-,-,-,"25,64 μM",-,-,-,-,-,-,-,30μM,Network activity values normalized to plate controls,"Frank et al., US EPA Integrated Systems Toxicology Division",Microelectrode array-based neural network formation assay,"Rat cortical cells cultured and exposed to permethrin, monitored for spontaneous activity, synchrony, and cell viability as network formed (12DIV)",Functional neurotoxicity screening,-,30,mM,rat,Primary cortical neurons (plus glia),primary mixed cells,"0.03μM, 0.1μM, 0.3μM, 1μM, 3μM, 10μM, 30μM",Permethrin perturbed several neural network parameters in a concentration-dependent manner,Cytotoxicity (Alamar Blue/LDH) measured at DIV12 for highest concentrations; network effects observed below cytotoxic concentrations,-,-,-,-,"Neural network development, synaptic function, neural coordination","Electrophysiology, metabolic activity, enzymatic lysis",brain,-,-,https://doi.org/10.1093/toxsci/kfx169,DNT,-,-
176,BioStudies,Permethrin,Pyrethroid,"Effect on spontaneous electrical activity and network formation parameters (spiking, bursting, synchronicity) in primary rat cortical neurons grown on MEAs","Mean firing rate, burst rate, number of active electrodes, number of actively bursting electrodes, percent of spikes in bursts, number of network spikes, percent of spikes in network spikes, Pearson’s correlation, mutual information","Effect on spontaneous electrical activity and network formation parameters (spiking, bursting, synchronicity) in primary rat cortical neurons grown on MEAs",Electrophysiological parameters describing the development of neural network function measured by microelectrode arrays over 12 days in vitro. Developmental neurotoxicity screening using the MEA-based network formation assay (NFA) in primary rat cortical cultures exposed continuously from 2h after plating through 12 DIV.,-,-,-,-,-,Disruption of voltage-gated sodium channels leading to altered neuronal network activity and developmental neurotoxicity,"Reduced firing rates, altered network bursting and synchrony indicative of disrupted neural network formation and function",Active,-,-,-,"11,8 μM (AUC)",-,-,-,-,-,-,-,20 μM,Data normalized relative to untreated control wells per plate,"Shafer et al., US EPA Integrated Systems Toxicology Division; Toxicological Sciences 2019",Neural Network Formation Assay (NFA) using multiwell microelectrode array (MEA) technology,"Primary rat cortical neurons plated on 48-well MEA plates, exposed to permethrin continuously from plating for 12 days, electrophysiological recording on DIV 5, 7, 9, and 12, viability assessed on DIV12",Functional developmental neurotoxicity assay measuring integrated neural network activity,-,20,mM,rat,Primary mixed cortical neuron culture,primary culture,Range from 0.03 μM to 20 μM in half-log increments,"Significant, concentration-dependent decrease in multiple parameters of network activity consistent with neurotoxicity; selective effects (network effect EC50 lower than viability EC50)",Network activity was disrupted at concentrations below those causing cytotoxicity in viability assays,Voltage-gated sodium channel (VGSC),Ion channel,Sodium channel,-,"Neural network formation and function, synaptic transmission, ion channel activity","Electrophysiological microelectrode array (MEA), metabolic viability assays (Alamar Blue, LDH)",brain,-,-,doi: 10.1093/toxsci/kfz052,DNT,-,-
177,BioStudies,Permethrin,Pyrethroid, Neural network development; identification of toxicological tipping points where network recovery fails.,"9 primary network activity parameters: mean firing rate (MFR), number of active electrodes (#AE), burst rate (BR), number of actively bursting electrodes (#ABE), percent of spikes in bursts (%SiB), number of network spikes (#NS), percent of spikes in network spikes (%SiNS), Pearson correlation (r), mutual information (MI)", Neural network development; identification of toxicological tipping points where network recovery fails.,"Parameters reflect spontaneous spiking, bursting, synchrony, and connectivity in developing networks recorded using MEAs.",-,-,-,-,-,network function disruption as an early key event for developmental neurotoxicity (DNT),Disruption of spontaneous neural network formation and function during early in vitro development,Active,-,-,-,-,-,-,-,-,-,-,-,30μM ,"Z-scored, plate-normalized fold-change vs. controls for each network paramete",US EPA Integrated Systems Toxicology Division,Microelectrode Array Neural Network Development Assay (mwMEA),Medium-throughput assay quantifying disruption of network development in primary rat cortical cultures by monitoring electrical activity over 12 days in vitro,"Functional, physiological neurotoxicity screening",-,-,-,rat,Primary mixed cortical neuron culture,primary culture,0.03–30μM; tipping point reported at 0.871μM (with 95% CI 0.64 to 1.288μM),"Clear, concentration-dependent disruption of network ontogeny; irreversible effect (“tipping point”) observed",Tipping point concentration (0.871μM) well below concentration for 50% reduction in viability (not cytotoxic at tipping point concentration),"nervous system function (primarily voltage-gated sodium channels, as known pyrethroid mechanism)",Voltage-gated sodium channel modulator,-,-,Neural network formation; developmental neurotoxicity screening,Microelectrode array (MEA) extracellular electrophysiology,brain,-,-,https://doi.org/10.1016/j.taap.2018.01.017,DNT,-,-
178,Lit_review,Permethrin,Pyrethroid,Cytotoxicity assays (cell viability),Pesticide cytotoxicity was evaluated by reduction of metabolic activity (via Alamar Blue/Resazurin-based assay). Multiple tissue-specific cultures were used to reflect different toxicodynamic responses.,-,-,-,-,-,-,-,-,-,Active,-,-,-,"metabolic activity: >1000 in thre cell lines; membrane integrity: >1000 in 
RTgutGC, 426.7 in RTgill‐W1, and 543.7 in RTL‐W1",-,-,-,-,-,-,-,1000 μM ,-,-,assays of metabolic activity (alamarBlue fluorescent dye) and membrane integrity (CFDA‐AM fluorescent dye),"The exposure medium was discarded, and the alamarBlue and (CFDA‐AM) cytotoxicity assays were conducted immediately to assess metabolic activity and membrane integrity, respectively. Briefly, the cells were rinsed in 100μL of phosphate‐buffered saline (PBS) following which alamarBlue (5% v/v in PBS)+CFDA‐AM dye was added to the wells, and the cells were incubated for 30min. Next, fluorescence was read at 530nm/595nm for alamarBlue and 493nm/541nm for CFDA‐AM using a Synergy HT Gen5 microplate reader (BioTek).",Viability,-,200,Mm,Trout," RTgill-W1, RTL-W1, RTgutGC ",cell line ,0.01 – 1000 µM (x24h),"In 24-h exposures across eight concentrations (spanning ~3.5 orders of magnitude) in rainbow trout gill (RTgill-W1), liver (RTL-W1), and gut (RTgutGC) cell lines, cytotoxicity was measured by metabolic activity (alamarBlue) and membrane integrity (CFDA-AM). Permethrin produced concentration-dependent effects only on membrane integrity in gill and liver cells; it did not elicit a metabolic-activity response in those cells, and it showed no cytotoxicity in the gut cell line under the tested conditions. Notably, mass-balance modeling predicted that <3% of nominal permethrin remained in the exposure medium (reflecting high hydrophobicity), and when EC50s were expressed using these predicted concentrations, permethrin ranked among the most potent compounds (EC50 ≲ ~1 μM) in gill cells, with a similar potency ranking pattern in liver cells.",-,-,-,-,-,-,Fluorescence,"gill, gut, and liver",-,-,https://doi.org/10.1002/etc.5808,-,-,-
179,Lit_review,Permethrin,Pyrethroid,Cytokinesis-block micronucleus cytome (CBMN cyt) assay ,"Genotoxicity was evaluated using the cytokinesis-block micronucleus cytome (CBMN cyt) assay by measuring the frequency of micronuclei (MN), nuclear division index (NDI), formation of nucleoplasmic bridges (NPB) and nuclear buds (NBUD), as well as apoptotic and necrotic cells",-,-,-,-,-,-,-,-,"DNA damage, chromosomal instability, cytostasis (cell cycle effects), and cytotoxicity ",Active,-,-,-,-,-,-,-,-,-,-,-,10/0.14 μg/ml of permethrin/allethrin mixture ,-,-,CBMN cyt assay,"The Cytokinesis-Block Micronucleus Cytome (CBMN cyt) assay is a comprehensive cytogenetic technique that measures DNA damage, cytostasis, and cytotoxicity in cells, specifically analyzing once-divided binucleated cells. It evaluates several biomarkers of genotoxicity including micronuclei (MN), nucleoplasmic bridges (NPBs), and nuclear buds (NBUDs), as well as cellular effects such as the nuclear division index (NDI) and apoptosis/necrosis.",Viability,-,-,-,human ,PBL,peripheral blood lymphocytes ,"permethrin/allethrin mixture:  1/0.01, 5/0.07, and 10/0.14 μg/ml  for 24 or 36 h.","The highest concentration (10/0.14 μg/ml) of permethrin/allethrin mixture significantly increased MN frequency and percent apoptotic cells after incubations for 24 or 36 h. The NDI was markedly decreased in response to treatment with 5/0.07 or 10/0.14 μg/ml permethrin/allethrin for both 24 and 36 h. Exposure to the permethrin/allethrin mixture did not significantly alter formation of NBUD, NPB, or percent necrotic cells. The MN frequency was significantly correlated with the number of apoptotic and necrotic cells but inversely correlated with NDI. Data demonstrated that a mixture of permethrin and allethrin induced concentration- and time-dependent cytotoxic and genotoxic damage to human PBL in vitro. ",-,-,-,-,-,-,Microscopy,blood,-,-,10.1080/15287394.2015.956025,-,-,-
180,Lit_review,Permethrin,Pyrethroid,QSAR and SSD models to predict aquatic toxicity and species sensitivity of pyrethroid,"The QSAR models, described by the formula 48 h-EC50 or 96 h-LC50 = x + y * log Kow, were validated for predicting 48 h-EC50 values for acute Daphnia toxicity and 96 h-LC50 values for acute fish toxicity, meeting criteria of n ≥10, r2 ≥0.7, and Q2 >0.5. ",-,-,-,-,-,-,-,-,-,-,-,-,-,Predicted 48 h-EC50 values: 3.95 × 10-5 mg/L (permethrin). Predicted 96 h-EC50 values:  3.89 × 10-5 mg/L (permethrin). ,-,-,-,-,-,-,-,-,-,-,QSAR and SSD models, In this study QSAR and SSD models for six pyrethroid and four organophosphate compounds using QSAR Toolbox and SSD Toolbox,Toxicity prediction models,-,-,-,-,-,-,-,"Predicted 48 h-EC50 values: 3.95 × 10-5 mg/L (permethrin). Predicted 96 h-EC50 values:  3.89 × 10-5 mg/L (permethrin). These values show a good agreement with experimental data. HC05 values, indicating hazardous concentrations for 5% of species, range from 0.029 to 0.061 µg/L for pyrethroids. These values aid in establishing environmental quality standards (EQS). Compared to existing EQS, HC05 values for pyrethroids were less conservative, while those for organophosphates were comparable.",-,-,-,-,-,-,Computational and stadistical methods,-,-,-,10.1080/1062936X.2024.2389818,-,-,-
